"source","target","type","properties"
"1","480","founded_by","{""id"":544,""type"":""founded_by"",""start"":1,""end"":480,""properties"":{}}"
"1","2","founded_by","{""id"":545,""type"":""founded_by"",""start"":1,""end"":2,""properties"":{""notes"":""""}}"
"2","480","employer","{""id"":200,""type"":""employer"",""start"":2,""end"":480,""properties"":{}}"
"2","4","position_held","{""id"":550,""type"":""position_held"",""start"":2,""end"":4,""properties"":{""notes"":""""}}"
"7","331","located_in","{""id"":552,""type"":""located_in"",""start"":7,""end"":331,""properties"":{}}"
"7","9","instance_of","{""id"":551,""type"":""instance_of"",""start"":7,""end"":9,""properties"":{}}"
"8","331","located_in","{""id"":554,""type"":""located_in"",""start"":8,""end"":331,""properties"":{}}"
"9","467","facet_of","{""id"":556,""type"":""facet_of"",""start"":9,""end"":467,""properties"":{}}"
"10","62","employer","{""id"":202,""type"":""employer"",""start"":10,""end"":62,""properties"":{}}"
"10","480","employer","{""id"":203,""type"":""employer"",""start"":10,""end"":480,""properties"":{}}"
"10","525","employer","{""id"":201,""type"":""employer"",""start"":10,""end"":525,""properties"":{}}"
"10","414","developer","{""id"":71,""type"":""developer"",""start"":10,""end"":414,""properties"":{}}"
"10","420","collaborated_with","{""id"":557,""type"":""collaborated_with"",""start"":10,""end"":420,""properties"":{}}"
"10","29","participant","{""id"":563,""type"":""participant"",""start"":10,""end"":29,""properties"":{}}"
"10","67","developer","{""id"":561,""type"":""developer"",""start"":10,""end"":67,""properties"":{}}"
"10","414","studies","{""id"":558,""type"":""studies"",""start"":10,""end"":414,""properties"":{}}"
"10","114","has_part","{""id"":564,""type"":""has_part"",""start"":10,""end"":114,""properties"":{}}"
"10","249","field_of_work","{""id"":565,""type"":""field_of_work"",""start"":10,""end"":249,""properties"":{}}"
"10","99","member_of","{""id"":560,""type"":""member_of"",""start"":10,""end"":99,""properties"":{}}"
"10","425","studies","{""id"":559,""type"":""studies"",""start"":10,""end"":425,""properties"":{}}"
"10","467","studies","{""id"":562,""type"":""studies"",""start"":10,""end"":467,""properties"":{}}"
"11","94","field_of_work","{""id"":567,""type"":""field_of_work"",""start"":11,""end"":94,""properties"":{}}"
"12","62","employer","{""id"":204,""type"":""employer"",""start"":12,""end"":62,""properties"":{}}"
"12","63","studies","{""id"":40,""type"":""studies"",""start"":12,""end"":63,""properties"":{}}"
"12","158","studies","{""id"":44,""type"":""studies"",""start"":12,""end"":158,""properties"":{}}"
"12","145","position_held","{""id"":569,""type"":""position_held"",""start"":12,""end"":145,""properties"":{""notes"":""""}}"
"13","220","point_in_time","{""id"":274,""type"":""point_in_time"",""start"":13,""end"":220,""properties"":{}}"
"13","368","located_in","{""id"":570,""type"":""located_in"",""start"":13,""end"":368,""properties"":{}}"
"14","36","founded_by","{""id"":571,""type"":""founded_by"",""start"":14,""end"":36,""properties"":{""start_date"":""1980s""}}"
"15","496","position_held","{""id"":261,""type"":""position_held"",""start"":15,""end"":496,""properties"":{}}"
"15","151","collaborated_with","{""id"":573,""type"":""collaborated_with"",""start"":15,""end"":151,""properties"":{}}"
"16","313","employer","{""id"":23,""type"":""employer"",""start"":16,""end"":313,""properties"":{}}"
"16","309","author","{""id"":299,""type"":""author"",""start"":16,""end"":309,""properties"":{}}"
"16","107","employer","{""id"":205,""type"":""employer"",""start"":16,""end"":107,""properties"":{}}"
"16","116","author","{""id"":150,""type"":""author"",""start"":16,""end"":116,""properties"":{}}"
"16","503","member_of","{""id"":80,""type"":""member_of"",""start"":16,""end"":503,""properties"":{}}"
"16","116","main_subject","{""id"":575,""type"":""main_subject"",""start"":16,""end"":116,""properties"":{""notes"":""""}}"
"16","81","member_of","{""id"":574,""type"":""member_of"",""start"":16,""end"":81,""properties"":{}}"
"18","20","founded_by","{""id"":576,""type"":""founded_by"",""start"":18,""end"":20,""properties"":{""notes"":""""}}"
